,Sport,Endurance,Strength,Power,Speed,Agility,Flexibility,Nerve,Durability,Hand-Eye Coordination,Analytical Aptitude,Total,Rank
29,Badminton,5.25,3.25,4.0,5.63,7.38,5.25,1.25,2.63,7.25,6.13,48.0,30
30,Skiing: Nordic,9.0,5.75,4.38,5.13,4.0,4.0,2.75,5.5,3.63,3.88,48.0,30
31,Auto Racing,5.88,3.5,2.63,1.63,2.75,1.75,9.88,4.38,8.0,7.5,47.875,32
32,Track and Field: High Jump,3.0,6.0,7.0,6.13,5.63,6.63,3.5,3.5,3.5,2.88,47.75,33
33,"Track and Field: Long, Triple jumps",4.0,5.63,7.13,6.75,5.0,5.75,2.75,3.25,4.0,3.13,47.375,34
34,Diving,2.88,5.13,4.63,3.0,3.5,8.5,8.38,5.0,3.0,3.0,47.0,35
35,Swimming (all strokes): Distance,9.25,5.25,4.63,5.5,3.63,5.5,2.63,4.63,2.88,3.0,46.875,36
36,Skateboarding,4.13,3.75,3.75,4.13,6.13,5.13,6.5,5.25,4.88,3.13,46.75,37
37,Track and Field: Sprints,3.5,5.13,7.25,9.88,4.63,5.13,2.0,4.13,2.63,2.38,46.625,38
38,Rowing,8.13,7.75,7.13,4.0,2.5,4.0,1.75,4.38,2.88,3.63,46.125,39
39,Rodeo: Calf Roping,3.13,5.38,5.0,4.25,5.63,3.88,4.88,3.75,6.38,3.75,46.0,40
40,Track and Field: Distance,9.63,5.25,3.75,6.0,3.25,4.38,2.0,5.75,1.88,4.13,46.0,40
41,Rodeo: Bull/Bareback/Bronc Riding,3.25,5.38,4.0,1.75,3.63,4.25,9.5,7.38,3.63,3.13,45.875,42
42,Track and Field: Middle Distance,6.0,5.13,5.13,7.75,4.0,4.88,2.0,4.75,2.13,3.75,45.5,43
43,Weight-Lifting,4.13,9.25,9.75,2.63,2.5,3.38,4.0,4.75,2.25,2.38,45.0,44
44,Swimming (all strokes): Sprints,4.13,5.25,6.25,7.88,3.63,5.5,2.5,3.25,2.75,3.0,44.125,45
45,Water Skiing,4.63,5.0,4.5,3.0,4.25,4.75,5.88,4.63,4.13,3.25,44.0,46
46,Table Tennis,3.5,2.5,4.63,4.13,5.88,4.25,1.38,1.88,8.88,6.0,43.0,47
47,Track and Field: Weights,3.25,7.88,9.13,3.0,3.13,3.0,2.25,3.63,4.0,2.88,42.125,48
48,Canoe/Kayak,6.75,5.25,5.63,3.5,2.75,3.88,3.63,3.25,3.13,4.25,42.0,49
49,Horse Racing,4.0,3.88,2.88,1.38,2.88,3.75,8.0,4.5,3.88,6.5,41.625,50
50,Golf,3.25,3.88,6.13,1.63,1.75,4.0,2.5,2.38,6.0,6.38,37.875,51
51,Cheerleading,3.63,3.63,3.38,2.25,4.13,7.5,3.63,3.38,2.5,2.25,36.25,52
52,Roller Skating,4.75,3.38,4.0,5.13,4.0,3.5,2.63,3.38,2.88,2.63,36.25,52
53,Equestrian,3.38,3.25,1.75,1.25,2.5,2.88,6.0,2.75,2.88,5.13,31.75,54
54,Archery,2.88,4.5,3.13,1.13,1.63,2.63,2.75,2.13,6.63,3.25,30.625,55
55,Curling,2.25,2.63,2.5,1.5,2.25,2.63,1.75,1.5,4.88,5.63,27.5,56
56,Bowling,2.25,2.75,3.38,1.0,1.88,2.38,1.63,1.25,4.75,4.13,25.375,57
57,Shooting,2.25,2.5,1.38,0.88,1.13,1.75,2.38,1.88,6.75,4.0,24.875,58
58,Billiards,1.0,1.0,1.75,0.75,1.0,2.63,1.63,0.75,5.25,5.75,21.5,59
59,Fishing,1.38,1.63,1.25,0.63,1.5,1.13,0.88,0.88,2.38,2.88,14.5,60
